element,method,macro_iteration,total_energy_eh,energy_change_eh,orbital_gradient_norm,converged
Cl,dmrg-supercipt,27,-460.88720371516644,-1.1913812159036752e-09,8.629390156710107e-05,True
Br,casscf-superci,0,-2604.319896588758,,0.2035566191761464,False
Br,casscf-superci,1,-2604.35140700868,-0.03151041992168757,0.07418906144999596,False
Br,casscf-superci,2,-2604.3574850760806,-0.00607806740072192,0.026473586304060562,False
Br,casscf-superci,3,-2604.3579493236866,-0.0004642476060325862,0.004397905390091949,False
Br,casscf-superci,4,-2604.3579539011535,-4.577466825139709e-06,0.0003996835621755006,False
Br,casscf-superci,5,-2604.3579539852913,-8.413780960836448e-08,8.380766356838048e-05,False
Br,casscf-superci,6,-2604.3579539884836,-3.192326403222978e-09,2.394721209613194e-05,True
Br,dmrg-superci,0,-2604.3198965887577,,0.2035566191761468,False
Br,dmrg-superci,1,-2604.351407008681,-0.03151041992305181,0.07418906144999304,False
Br,dmrg-superci,2,-2604.357485076077,-0.006078067396174447,0.026473586304109318,False
Br,dmrg-superci,3,-2604.3579493236875,-0.0004642476105800597,0.004397905384209016,False
Br,dmrg-superci,4,-2604.3579539011544,-4.577466825139709e-06,0.00039968356496598856,False
Br,dmrg-superci,5,-2604.3579539852926,-8.413826435571536e-08,8.380770350426377e-05,False
Br,dmrg-superci,6,-2604.357953988485,-3.192326403222978e-09,2.3947242903904814e-05,True
Br,dmrg-supercipt,0,-2604.3198965887577,,0.2878725315497209,False
Br,dmrg-supercipt,1,-2604.3562890733465,-0.036392484588759544,0.1139426175071695,False
Br,dmrg-supercipt,2,-2604.357788597462,-0.0014995241153883399,0.035931156512587256,False
Br,dmrg-supercipt,3,-2604.357932469263,-0.00014387180090125185,0.013122315549015977,False
Br,dmrg-supercipt,4,-2604.3579490745624,-1.6605299606453627e-05,0.005035802421205986,False
Br,dmrg-supercipt,5,-2604.3579516437185,-2.569156094978098e-06,0.0027125817879513265,False
Br,dmrg-supercipt,6,-2604.357952443811,-8.000924935913645e-07,0.0019520486993270904,False
Br,dmrg-supercipt,7,-2604.3579528982696,-4.544585863186512e-07,0.0016055687347483014,False
Br,dmrg-supercipt,8,-2604.357953209914,-3.116442712780554e-07,0.0013492658566287116,False
Br,dmrg-supercipt,9,-2604.3579534314003,-2.214865162386559e-07,0.0011408765399858961,False
Br,dmrg-supercipt,10,-2604.357953589765,-1.5836485545150936e-07,0.0009648525268701329,False
Br,dmrg-supercipt,11,-2604.3579537031146,-1.1334941518725827e-07,0.0008163020111944863,False
Br,dmrg-supercipt,12,-2604.3579537842606,-8.114602678688243e-08,0.000690572602132408,False
Br,dmrg-supercipt,13,-2604.357953842353,-5.8092155086342245e-08,0.0005842373726624248,False
Br,dmrg-supercipt,14,-2604.3579538839385,-4.158573574386537e-08,0.00049426955212339,False
Br,dmrg-supercipt,15,-2604.357953913712,-2.9773673304589465e-08,0.0004181605551361235,False
Br,dmrg-supercipt,16,-2604.3579539350285,-2.1316282072803006e-08,0.00035377122532103083,False
Br,dmrg-supercipt,17,-2604.357953950288,-1.525950210634619e-08,0.0002992980712012139,False
Br,dmrg-supercipt,18,-2604.357953961212,-1.0923940862994641e-08,0.00025321329889105694,False
Br,dmrg-supercipt,19,-2604.3579539690327,-7.82074494054541e-09,0.0002142251966141707,False
Br,dmrg-supercipt,20,-2604.3579539746343,-5.601577868219465e-09,0.00018124075731916888,False
Br,dmrg-supercipt,21,-2604.3579539786406,-4.006324161309749e-09,0.0001533354178784176,False
Br,dmrg-supercipt,22,-2604.3579539815137,-2.8730937629006803e-09,0.0001297269870972584,False
Br,dmrg-supercipt,23,-2604.3579539835664,-2.052729541901499e-09,0.00010975375697717286,False
Br,dmrg-supercipt,24,-2604.357953985038,-1.4715624274685979e-09,9.285592837406952e-05,True
I,casscf-superci,0,-7111.6774988724155,,0.16609738473605842,False
I,casscf-superci,1,-7111.700366905969,-0.0228680335530953,0.0623883986976679,False
I,casscf-superci,2,-7111.705185783739,-0.004818877770048857,0.024096025950134894,False
I,casscf-superci,3,-7111.705648651575,-0.00046286783617688343,0.003630659159632636,False
I,casscf-superci,4,-7111.705653710326,-5.0587514124345034e-06,0.00047609819367360265,False
I,casscf-superci,5,-7111.70565383076,-1.204334694193676e-07,7.64762006671014e-05,False
I,casscf-superci,6,-7111.7056538354655,-4.705725586973131e-09,1.5491705976615893e-05,True
I,dmrg-superci,0,-7111.677498872415,,0.1660973847360538,False
I,dmrg-superci,1,-7111.7003669059695,-0.02286803355491429,0.06238839869767746,False
I,dmrg-superci,2,-7111.705185783732,-0.0048188777627729,0.024096025950078828,False
I,dmrg-superci,3,-7111.705648651574,-0.00046286784163385164,0.0036306591587054494,False
I,dmrg-superci,4,-7111.705653710325,-5.0587514124345034e-06,0.00047609834789197103,False
I,dmrg-superci,5,-7111.705653830754,-1.2042892194585875e-07,7.647621470244192e-05,False
I,dmrg-superci,6,-7111.705653835457,-4.702997102867812e-09,1.5494378557667565e-05,True
I,dmrg-supercipt,0,-7111.677498872415,,0.23489717416843756,False
I,dmrg-supercipt,1,-7111.704104181318,-0.026605308903526748,0.09845253341067763,False
I,dmrg-supercipt,2,-7111.70550778381,-0.0014036024922461365,0.02891152681635474,False
I,dmrg-supercipt,3,-7111.705634690365,-0.00012690655421465635,0.010686161202042719,False
I,dmrg-supercipt,4,-7111.705648859661,-1.4169296264299192e-05,0.004102524760710115,False
I,dmrg-supercipt,5,-7111.705651204879,-2.345218490518164e-06,0.0023659097117974632,False
I,dmrg-supercipt,6,-7111.705652050207,-8.453280315734446e-07,0.0017754160458669573,False
I,dmrg-supercipt,7,-7111.705652564696,-5.144884198671207e-07,0.0014771248919495808,False
I,dmrg-supercipt,8,-7111.705652923832,-3.5913581086788327e-07,0.0012464695362929552,False
I,dmrg-supercipt,9,-7111.705653180661,-2.568294803495519e-07,0.0010561059844314555,False
I,dmrg-supercipt,10,-7111.705653365046,-1.8438458937453106e-07,0.0008948802359617965,False
I,dmrg-supercipt,11,-7111.705653497527,-1.324815457337536e-07,0.0007584563747112811,False
I,dmrg-supercipt,12,-7111.705653592725,-9.519771992927417e-08,0.0006428015384318724,False
I,dmrg-supercipt,13,-7111.705653661132,-6.840673449914902e-08,0.0005448013705301633,False
I,dmrg-supercipt,14,-7111.705653710281,-4.914909368380904e-08,0.0004617401908201915,False
I,dmrg-supercipt,15,-7111.705653745597,-3.5316588764544576e-08,0.0003913465289650416,False
I,dmrg-supercipt,16,-7111.705653770974,-2.5376721168868244e-08,0.0003316858424694361,False
I,dmrg-supercipt,17,-7111.705653789212,-1.823809725465253e-08,0.00028112209266222595,False
I,dmrg-supercipt,18,-7111.70565380232,-1.3107637641951442e-08,0.00023826767412630425,False
I,dmrg-supercipt,19,-7111.705653811741,-9.421455615665764e-09,0.0002019470359600224,False
I,dmrg-supercipt,20,-7111.705653818502,-6.760274118278176e-09,0.00017116380078667585,False
I,dmrg-supercipt,21,-7111.705653823366,-4.864887159783393e-09,0.00014507360730921923,False
I,dmrg-supercipt,22,-7111.705653826864,-3.497916623018682e-09,0.0001229608572190514,False
I,dmrg-supercipt,23,-7111.705653829372,-2.507476892787963e-09,0.00010421909306340731,False
I,dmrg-supercipt,24,-7111.705653831173,-1.800799509510398e-09,8.833434223341665e-05,True
At,casscf-superci,0,-22855.595344722093,,0.15647457997740372,False
At,casscf-superci,1,-22855.61548239798,-0.020137675888690865,0.05714654409224886,False
At,casscf-superci,2,-22855.619694497545,-0.004212099564028904,0.023709534104444076,False
At,casscf-superci,3,-22855.620159683167,-0.000465185621578712,0.00393571116504894,False
At,casscf-superci,4,-22855.620168308207,-8.625040209153667e-06,0.0007494339205366495,False
At,casscf-superci,5,-22855.620168690355,-3.821478458121419e-07,0.000211545168240598,False
At,casscf-superci,6,-22855.62016871698,-2.6626366889104247e-08,7.890209691044764e-05,False
At,casscf-superci,7,-22855.620168719543,-2.561137080192566e-09,3.3942656164017904e-05,True
At,dmrg-superci,0,-22855.595344722093,,0.15647457997740252,False
At,dmrg-superci,1,-22855.61548239798,-0.020137675888690865,0.05714654409232045,False
At,dmrg-superci,2,-22855.619694497538,-0.004212099556752946,0.023709534104341373,False
At,dmrg-superci,3,-22855.620159683163,-0.0004651856252166908,0.003935711164830946,False
At,dmrg-superci,4,-22855.62016830818,-8.625018381280825e-06,0.0007494339066373565,False
At,dmrg-superci,5,-22855.620168690373,-3.82191501557827e-07,0.00021154508461071448,False
At,dmrg-superci,6,-22855.620168716974,-2.6600901037454605e-08,7.890459659130247e-05,False
At,dmrg-superci,7,-22855.620168719517,-2.5429471861571074e-09,3.394469844675562e-05,True
At,dmrg-supercipt,0,-22855.595344722093,,0.22128847317059763,False
At,dmrg-supercipt,1,-22855.618402111904,-0.023057389811583562,0.1049524485992139,False
At,dmrg-supercipt,2,-22855.61996472268,-0.0015626107742718887,0.034888386917407234,False
At,dmrg-supercipt,3,-22855.62013865406,-0.00017393138114130124,0.014168162251482453,False
At,dmrg-supercipt,4,-22855.620161698756,-2.30446967179887e-05,0.005560501458850936,False
At,dmrg-supercipt,5,-22855.620165616092,-3.9173355617094785e-06,0.002820865639927114,False
At,dmrg-supercipt,6,-22855.620166758144,-1.142052497016266e-06,0.0018424161385473836,False
At,dmrg-supercipt,7,-22855.620167347293,-5.891488399356604e-07,0.0014646530817904028,False
At,dmrg-supercipt,8,-22855.620167737856,-3.9056249079294503e-07,0.001220818872956858,False
At,dmrg-supercipt,9,-22855.620168014,-2.7614441933110356e-07,0.001032843225360034,False
At,dmrg-supercipt,10,-22855.62016821197,-1.9797153072431684e-07,0.0008751257481004277,False
At,dmrg-supercipt,11,-22855.620168354333,-1.423613866791129e-07,0.0007422358263360452,False
At,dmrg-supercipt,12,-22855.620168456775,-1.0244184522889555e-07,0.0006294715976868637,False
At,dmrg-supercipt,13,-22855.620168530528,-7.37527443561703e-08,0.0005339054526910796,False
At,dmrg-supercipt,14,-22855.6201685836,-5.307083483785391e-08,0.00045283569150078525,False
At,dmrg-supercipt,15,-22855.620168621776,-3.8176949601620436e-08,0.0003840867198546745,False
At,dmrg-supercipt,16,-22855.620168649304,-2.7528585633262992e-08,0.000325775235009355,False
At,dmrg-supercipt,17,-22855.620168669066,-1.9761500880122185e-08,0.0002763198539443855,False
At,dmrg-supercipt,18,-22855.620168683316,-1.424996298737824e-08,0.00023437369545437637,False
At,dmrg-supercipt,19,-22855.620168693564,-1.0248186299577355e-08,0.00019879679900667517,False
At,dmrg-supercipt,20,-22855.620168700945,-7.3814589995890856e-09,0.0001686215532600726,False
At,dmrg-supercipt,21,-22855.620168706242,-5.296897143125534e-09,0.0001430276847095936,False
At,dmrg-supercipt,22,-22855.620168710073,-3.830791683867574e-09,0.00012131940963500342,False
At,dmrg-supercipt,23,-22855.620168712834,-2.76122591458261e-09,0.00010290668857413591,False
At,dmrg-supercipt,24,-22855.620168714806,-1.9717845134437084e-09,8.728909084403748e-05,True
